instance,family,keep,K,customers,num_seeds,pool_size_before_cap,master_pool_cap,pool_size,best_single_lns_score,ortools_seconds,ortools_solved,ortools_score,exact_seconds,exact_feasible,exact_score,neal_seconds,neal_valid_samples,neal_num_reads,neal_best_score,swap_seconds,swap_valid,swap_restarts,swap_best_score,total_seconds
r104,R,70,6,70,8,645,1400,645,2853.356430166906,30.002518886700273,True,2913.012013551856,18.322254221886396,True,2256.7974390312947,49.86732740979642,0,1000,,8.169610518030822,79,200,2645.0757375794324,2503.1659149173647
r104,R,100,8,100,8,858,1400,858,4210.032247479518,30.00363088864833,True,3766.4881185941676,,,,87.68763155676425,0,1000,,11.175451379269361,8,200,4108.8691439310005,3568.2874875962734
r105,R,70,6,70,8,367,1400,367,13797.44732591324,30.00218604505062,True,14853.908424989673,1.0249520959332585,True,13227.417700050886,19.105539582669735,0,1000,,8.300168653950095,102,200,13268.33681203094,2481.237088951282
r105,R,100,8,100,8,521,1400,521,17193.2123668375,30.017878020182252,True,17638.352171683386,625.9766738973558,True,16246.5710347111,36.81572200357914,0,1000,,11.40157363191247,26,200,17170.97763465353,4221.761739701964
r106,R,70,6,70,8,147,1400,147,8112.41071164342,30.004574553109705,True,8300.333440689263,0.3096976028755307,True,7589.92395292132,4.311592239886522,2,1000,8536.69061161211,7.735318844206631,190,200,7761.729516763267,2472.287616059184
r106,R,100,8,100,8,498,1400,498,10716.490605179319,30.00324673578143,True,11072.449848643513,140.28005021810532,True,9656.236931723197,33.63981466367841,0,1000,,11.115774404257536,35,200,10169.736036044635,3691.4736011503264
r107,R,70,6,70,8,517,1400,517,5264.3022459536505,30.002396835014224,True,6991.213793434794,8.273135867901146,True,4400.621171775384,34.11272240243852,2,1000,5580.647027885652,8.073092458769679,57,200,4760.741507438254,2507.5618068072945
r107,R,100,8,100,8,595,1400,595,6973.949609853536,30.004386235028505,True,6637.44376939443,148.30703120026737,True,5876.919042798738,44.87635356467217,0,1000,,11.067282479256392,31,200,6556.784047026398,3597.3453388046473
r108,R,70,6,70,8,642,1400,642,2453.294553932702,30.005562965758145,True,2431.64806368022,6.5927923778072,True,1826.2793332432507,49.57132887933403,1,1000,2978.6508660062022,8.252056254073977,58,200,1930.7255239486644,2513.613239625469
r108,R,100,8,100,8,406,1400,406,3220.881811191207,30.003676022402942,True,3114.677953828887,85.9265246624127,True,2772.1663651576528,22.827324990183115,0,1000,,11.057562564499676,80,200,2998.18811809145,3407.1581877516583
r109,R,70,6,70,8,284,1400,284,7999.185629121693,30.006862005218863,True,8412.500794973379,1.6396341500803828,True,7410.433059054365,12.240714334882796,2,1000,7689.44408609474,7.932049022987485,176,200,7415.09287102918,2435.8307261969894
r109,R,100,8,100,8,364,1400,364,9940.625685246438,30.00268243253231,True,9929.247035279543,182.59159046411514,True,9076.931889359123,19.19042490236461,0,1000,,11.07714885380119,80,200,9459.78759726366,3702.611062497832
r110,R,70,6,70,8,98,1400,98,4847.542388024296,30.003634967841208,True,5497.716327580645,0.056371139362454414,True,4583.103855199479,2.318927513435483,4,1000,5139.351534512121,7.737172779627144,198,200,4583.103855199479,2434.9146557748318
r110,R,100,8,100,8,273,1400,273,6968.551020144891,30.003823783248663,True,6749.9010646168745,62.3668132647872,True,5682.691562748818,12.556404707022011,0,1000,,10.898687148466706,97,200,6189.566199113515,3526.5417858324945
r111,R,70,6,70,8,465,1400,465,5126.270946900543,30.002718654461205,True,4770.599917927738,5.212591323070228,True,4678.006775069434,28.186657728627324,0,1000,,8.021975469775498,85,200,4862.499742265287,2487.6296793501824
r111,R,100,8,100,8,422,1400,422,6286.414927377193,30.003762665204704,True,8336.229235343873,111.95900096092373,True,5482.867457493433,24.328984855674207,0,1000,,11.018159432336688,46,200,5880.480074720637,3530.4711911501363
r112,R,70,6,70,8,118,1400,118,2560.3364132597253,30.001995124854147,True,2985.9588195308065,0.029449697583913803,True,2493.7058968295496,3.0447052866220474,2,1000,2685.587479901975,7.788420689292252,198,200,2498.6384662782466,2485.5787891848013
r112,R,100,8,100,8,509,1400,509,4421.112658397565,30.004567089490592,True,3402.404176877443,66.19538979139179,True,3711.94943474318,33.37471782788634,0,1000,,11.111550285480917,35,200,4088.6652015456875,3524.731851494871
rc101,RC,70,7,70,8,90,600,90,5734.884342779254,30.0028224773705,True,5282.690612978183,0.013560988940298557,True,5539.3038855864215,2.0748393377289176,3,1000,5751.444469099968,7.658886748366058,183,200,5539.3038855864215,1670.899846052751
rc101,RC,100,9,100,8,322,600,322,12434.713414007761,30.002776390872896,True,13590.244646571453,42.651233850978315,True,11239.627837345024,16.50432436261326,0,1000,,11.098019476048648,21,200,11921.604789081019,2420.7629771903157
rc102,RC,70,7,70,8,221,600,221,3528.81139438031,30.002636352553964,True,4484.621535576105,0.15589476376771927,True,3242.570821162012,8.367308529093862,1,1000,3614.1134797801888,7.7580766854807734,89,200,3295.2856022212563,1595.522177604027
rc102,RC,100,9,100,8,218,600,218,8235.083531374801,30.003729519434273,True,8570.364862589075,1.5781932920217514,True,6819.027461014666,8.246284199878573,0,1000,,10.602559061720967,133,200,7186.297890989622,2310.9051916170865
rc103,RC,70,7,70,8,140,600,140,2250.362103447749,30.001961490139365,True,1884.83319633752,0.0731029100716114,True,2003.2276361545821,4.171244761906564,1,1000,2401.021501490049,7.676776533015072,184,200,2057.0742702817333,1645.0500653693452
rc103,RC,100,9,100,8,210,600,210,5304.900794279185,30.00359916780144,True,4244.112328214496,3.2739341501146555,True,4128.770524317202,7.59711261279881,0,1000,,10.767571887001395,83,200,4604.013271325821,2384.08691874519
rc104,RC,70,7,70,8,91,600,91,979.5493763631357,30.003048477694392,True,884.1121204545567,0.005007416009902954,True,915.5568397963186,2.068561337888241,17,1000,915.5568397963186,7.688010991550982,161,200,915.5568397963186,1744.7165149748325
rc104,RC,100,9,100,8,691,600,600,3073.772432533275,30.003816393204033,True,2046.7332713945948,349.4583342364058,True,2295.8406650125035,45.02125976700336,0,1000,,10.930144869722426,0,200,,2747.9187543308362
